Year,Country,Associated Dis,Dis Mag Value,Latitude,Longitude,Total Deaths
1993,Greece,,5.0,37.589,21.391,1.0
1993,India,,6.0,16.4,74.2,9748.0
1993,Iran (Islamic Republic of),,6.0,30.149,50.814,24.0
1994,Indonesia,"Slide (land, mud, snow, rock)",7.0,-4.967,104.302,207.0
1994,Iran (Islamic Republic of),"Slide (land, mud, snow, rock)",6.0,29.096,52.617,3.0
1994,Iran (Islamic Republic of),"Slide (land, mud, snow, rock)",6.0,29.21,52.5,2.0
1994,Indonesia,Tsunami/Tidal wave,7.0,-10.2,13.2,239.0
1994,Indonesia,,7.0,1.015,127.733,7.0
1994,Iran (Islamic Republic of),,6.0,30.853,60.596,9.0
1989,Soviet Union,"Slide (land, mud, snow, rock)",5.0,38.465,68.694,274.0
1989,United States of America (the),,7.0,37.036,-121.88,62.0
1989,United States of America (the),,6.0,19.362,-155.083,5.0
1990,Soviet Union,,7.0,45.841,26.668,4.0
1990,Soviet Union,,7.0,47.892,85.12,1.0
1990,South Africa,,4.0,-26.39,27.349,10.0
1991,Soviet Union,Flood,7.0,42.15,42.44,270.0
1991,Soviet Union,"Slide (land, mud, snow, rock)",7.0,35.883,70.423,3.0
1991,Soviet Union,,5.0,37.457,68.273,1.0
1991,United States of America (the),,6.0,34.1,-118.09,2.0
1991,Yemen,,4.0,13.887,44.068,10.0
1992,Turkey,"Slide (land, mud, snow, rock)",7.0,39.71,39.605,653.0
1992,Uzbekistan,"Slide (land, mud, snow, rock)",6.0,41.019,72.429,9.0
1992,United States of America (the),,7.0,34.0,-118.15,1.0
1992,Congo (the Democratic Republic of the),,7.0,-6.087,26.651,9.0
1993,Sudan (the),,6.0,15.385,31.69,3.0
1993,United States of America (the),,6.0,42.314,-122.01,2.0
1993,Wallis and Futuna,,7.0,-14.385,-178.252,5.0
1994,United States of America (the),Fire,7.0,0.34,30.12,60.0
1994,Uganda,"Slide (land, mud, snow, rock)",6.0,0.593,30.037,7.0
1994,China,,7.0,22.52,118.7,1.0
1995,Chile,,8.0,-23.34,-70.36,3.0
1995,China,,7.0,21.966,99.196,11.0
1995,China,,6.0,25.9,102.2,46.0
1995,China,,6.0,36.443,103.105,14.0
1996,China,,7.0,25.04,102.41,309.0
1996,China,,6.0,40.774,109.661,18.0
1996,China,,7.0,39.28,76.44,26.0
1997,Chile,"Slide (land, mud, snow, rock)",7.0,-30.933,-71.22,8.0
1997,Afghanistan,,6.0,33.825,59.809,5.0
1997,Bangladesh,,6.0,22.212,92.702,23.0
1997,China,,6.0,39.474,76.998,12.0
1997,China,,7.0,39.3,76.5,9.0
1997,China,,5.0,39.422,76.839,2.0
1997,China,,6.0,39.527,76.941,9.0
1998,China,Fire,6.0,41.083,114.5,49.0
1998,Afghanistan,"Slide (land, mud, snow, rock)",7.0,37.106,70.11,4700.0
1998,China,"Slide (land, mud, snow, rock)",6.0,27.308,101.029,3.0
1998,Afghanistan,,6.0,37.075,70.089,2323.0
1998,Azerbaijan,,6.0,38.717,48.507,1.0
1998,Azores Islands,,6.0,38.65,-28.626,10.0
1998,Bolivia (Plurinational State of),,7.0,-17.731,-65.431,95.0
1994,Indonesia,Tsunami/Tidal wave,6.0,-1.14,128.5,1.0
1994,Japan,Tsunami/Tidal wave,8.0,45.1,147.51,5.0
1994,Algeria,,6.0,35.52,-0.12,171.0
1994,Japan,,8.0,40.5,143.4,2.0
1994,Philippines (the),,7.0,13.352,121.087,81.0
1995,Indonesia,"Slide (land, mud, snow, rock)",7.0,40.1,21.6,15.0
1995,Japan,Fire,7.0,34.58,135.0,5297.0
1995,Colombia,"Slide (land, mud, snow, rock)",7.0,4.9,-73.1,7.0
1995,Indonesia,"Slide (land, mud, snow, rock)",7.0,-2.1,101.3,84.0
1995,Colombia,,6.0,4.1,-76.6,40.0
1995,Colombia,,5.0,1.12,-77.17,8.0
1995,Cyprus,,6.0,35.1,32.3,2.0
1995,Ecuador,,5.0,-2.13,-79.54,1.0
1995,Ecuador,,7.0,-2.7,-77.8,2.0
1995,Egypt,,6.0,28.8,34.8,10.0
1995,Greece,,7.0,40.1,21.6,26.0
1995,Greece,,6.0,38.4,22.2,26.0
1995,Mexico,,7.0,16.8,-98.6,6.0
1995,Mexico,,8.0,16.2,104.1,58.0
1996,Indonesia,Tsunami/Tidal wave,7.0,0.729,119.931,9.0
1996,Indonesia,Tsunami/Tidal wave,8.0,1.1,137.15,166.0
1996,Ecuador,,6.0,-0.68,-78.3,27.0
1996,Peru,,7.0,-14.9,-75.7,14.0
1997,Iran (Islamic Republic of),"Slide (land, mud, snow, rock)",7.0,33.825,59.809,1568.0
1997,Pakistan,"Slide (land, mud, snow, rock)",6.0,29.976,68.208,50.0
1997,Indonesia,,6.0,-4.0,119.4,20.0
1997,India,,6.0,23.083,80.041,43.0
1997,Iran (Islamic Republic of),,6.0,37.661,57.291,100.0
1997,Iran (Islamic Republic of),,6.0,38.075,48.05,1100.0
1997,Italy,,6.0,43.0,13.0,14.0
1997,Mexico,,7.0,17.31,-101.16,1.0
1998,Iran (Islamic Republic of),"Slide (land, mud, snow, rock)",5.0,27.791,53.608,5.0
1998,Indonesia,Tsunami/Tidal wave,8.0,-2.071,124.891,33.0
1998,Ecuador,,7.0,-0.593,-80.393,3.0
1998,Iran (Islamic Republic of),,7.0,30.154,57.605,5.0
1998,Iran (Islamic Republic of),,6.0,32.457,59.976,12.0
1994,Russian Federation (the),Tsunami/Tidal wave,8.0,45.1,147.51,11.0
1995,Russian Federation (the),,8.0,52.5,142.9,1989.0
1995,Turkey,,6.0,38.0,30.1,94.0
1997,Venezuela (Bolivarian Republic of),"Slide (land, mud, snow, rock)",7.0,10.598,-63.486,80.0
1997,South Africa,,5.0,-26.857,26.619,15.0
1998,Papua New Guinea,,7.0,-2.961,141.926,2182.0
1998,Turkey,,6.0,3.878,35.307,145.0
1998,China,,6.0,39.66,77.343,3.0
1999,Afghanistan,,6.0,34.259,69.364,70.0
1999,Azerbaijan,,5.0,40.802,47.448,1.0
1999,Bangladesh,,5.0,21.544,91.895,6.0
2000,Azerbaijan,,7.0,40.245,49.946,31.0
2000,China,,6.0,25.607,101.063,7.0
2000,China,,5.0,24.263,103.797,1.0
2000,China,,5.0,25.826,102.194,1.0
2001,China,,6.0,29.513,101.129,3.0
1998,Pakistan,"Slide (land, mud, snow, rock)",6.0,36.479,71.086,1.0
1998,Indonesia,,6.0,-8.194,112.413,1.0
1999,Colombia,"Slide (land, mud, snow, rock)",6.0,4.461,-75.724,1186.0
1999,Mexico,"Slide (land, mud, snow, rock)",7.0,18.386,-97.436,15.0
1999,Algeria,,6.0,35.321,-1.281,22.0
1999,Greece,,6.0,38.119,23.605,143.0
1999,Guatemala,,7.0,15.782,88.33,2.0
1999,Indonesia,,7.0,-6.845,105.555,5.0
1999,India,,7.0,30.512,79.403,100.0
1999,Iran (Islamic Republic of),,7.0,28.343,57.193,1.0
1999,Iran (Islamic Republic of),,7.0,29.501,51.88,20.0
1999,Mexico,,8.0,16.1,-96.7,31.0
2000,Indonesia,"Slide (land, mud, snow, rock)",7.0,-4.646,102.102,103.0
2000,Indonesia,Tsunami/Tidal wave,8.0,-1.105,123.573,45.0
2000,Colombia,,7.0,7.042,-77.829,2.0
2000,Indonesia,,7.0,-4.612,101.905,1.0
2000,Iran (Islamic Republic of),,5.0,35.288,58.218,1.0
2000,Japan,,6.0,34.221,139.131,1.0
2000,Nicaragua,,5.0,11.884,-85.988,7.0
2001,Guatemala,,8.0,13.049,-88.66,6.0
2001,India,,8.0,23.419,70.232,20005.0
2001,Pakistan,,8.0,23.419,70.232,12.0
1999,Vanuatu,"Slide (land, mud, snow, rock)",8.0,-16.423,168.214,12.0
1999,Peru,"Slide (land, mud, snow, rock)",7.0,-16.66,-72.662,1.0
1999,Turkey,"Slide (land, mud, snow, rock)",7.0,40.758,31.161,845.0
1999,Taiwan (Province of China),"Slide (land, mud, snow, rock)",8.0,23.772,120.982,2264.0
1999,Philippines (the),,7.0,15.766,119.74,6.0
1999,Russian Federation (the),,7.0,43.21,46.82,1.0
1999,Turkey,,8.0,40.748,29.864,17127.0
1999,Turkey,,6.0,40.709,30.045,6.0
1999,Turkey,,5.0,40.711,29.949,1.0
1999,Turkey,,7.0,40.758,31.161,3.0
1999,Taiwan (Province of China),,6.0,23.445,120.506,1.0
2000,Papua New Guinea,Tsunami/Tidal wave,8.0,-3.98,152.169,2.0
2000,Turkmenistan,,7.0,39.566,54.799,11.0
2000,Turkey,,5.0,38.164,38.777,1.0
2000,Turkey,,6.0,40.693,32.992,2.0
2000,"Tanzania, United Republic of",,7.0,-7.977,30.709,1.0
2001,El Salvador,"Slide (land, mud, snow, rock)",8.0,13.049,-88.66,844.0
2001,El Salvador,"Slide (land, mud, snow, rock)",7.0,13.671,-88.938,315.0
2001,China,"Slide (land, mud, snow, rock)",6.0,24.768,99.061,2.0
2001,United States of America (the),,7.0,47.149,-122.7266667,1.0
2001,Afghanistan,,5.0,35.169,69.389,4.0
2001,China,,6.0,27.689,101.003,2.0
2001,China,,6.0,26.316,100.648,1.0
2002,Afghanistan,"Slide (land, mud, snow, rock)",6.0,36.429,70.438,150.0
2002,Afghanistan,"Slide (land, mud, snow, rock)",6.0,36.062,69.315,1000.0
2002,Afghanistan,"Slide (land, mud, snow, rock)",6.0,35.959,69.417,50.0
2001,Japan,,7.0,34.083,132.526,2.0
2002,Indonesia,"Slide (land, mud, snow, rock)",8.0,-1.757,134.297,8.0
2002,Georgia,"Slide (land, mud, snow, rock)",5.0,41.765,44.96,6.0
2002,Italy,"Slide (land, mud, snow, rock)",6.0,41.789,14.872,30.0
2002,India,Tsunami/Tidal wave,7.0,13.036,93.068,2.0
2002,China,,6.0,39.736,97.443,2.0
2002,Indonesia,,7.0,2.824,96.085,3.0
2002,Iran (Islamic Republic of),,5.0,28.093,51.755,1.0
2002,Iran (Islamic Republic of),,5.0,34.642,47.4,2.0
2002,Iran (Islamic Republic of),,7.0,35.626,49.047,227.0
2002,Italy,,6.0,38.381,13.701,2.0
2003,Mexico,"Slide (land, mud, snow, rock)",8.0,18.77,-104.104,29.0
2003,China,,6.0,39.61,77.23,268.0
2001,Peru,Tsunami/Tidal wave,8.0,-16.265,-73.641,145.0
2001,Peru,,6.0,-15.35,-72.516,2.0
2001,Peru,,6.0,-14.258,-72.683,4.0
2002,Taiwan (Province of China),Tsunami/Tidal wave,7.0,24.279,122.179,4.0
2002,Pakistan,"Slide (land, mud, snow, rock)",5.0,35.517,74.654,17.0
2002,Pakistan,"Slide (land, mud, snow, rock)",6.0,35.414,74.515,19.0
2002,Philippines (the),Tsunami/Tidal wave,8.0,6.033,124.249,15.0
2002,Papua New Guinea,Tsunami/Tidal wave,8.0,-3.302,142.945,4.0
2002,Pakistan,,6.0,36.429,70.438,3.0
2002,Papua New Guinea,,7.0,-3.212,142.427,1.0
2002,Rwanda,,5.0,-1.684,29.077,45.0
2002,Serbia Montenegro,,6.0,42.436,21.466,1.0
2002,Tajikistan,,5.0,38.673,69.902,3.0
2002,Turkey,,7.0,38.573,31.271,42.0
2002,"Tanzania, United Republic of",,6.0,-2.907,33.733,2.0
2003,Afghanistan,"Slide (land, mud, snow, rock)",5.0,35.893,70.62,1.0
2003,Bangladesh,"Slide (land, mud, snow, rock)",6.0,22.854,92.306,2.0
2003,Turkey,,6.0,39.5,39.878,1.0
2004,Afghanistan,,5.0,33.426,69.524,2.0
2004,Burundi,,5.0,-3.393,29.558,3.0
2004,Bangladesh,,9.0,3.295,95.982,2.0
2003,Japan,Fire,7.0,41.774,143.593,2.0
2003,China,"Slide (land, mud, snow, rock)",6.0,25.975,101.29,16.0
2003,Dominican Republic (the),"Slide (land, mud, snow, rock)",6.0,19.777,-70.673,3.0
2003,Algeria,Tsunami/Tidal wave,7.0,36.964,3.634,2266.0
2003,China,,6.0,39.43,77.219,1.0
2003,China,,5.0,43.77,119.643,4.0
2003,China,,6.0,25.954,101.254,3.0
2003,China,,6.0,38.383,100.975,9.0
2003,China,,5.0,34.712,103.834,1.0
2003,China,,6.0,27.372,103.971,4.0
2003,China,,6.0,42.905,80.515,11.0
2003,Costa Rica,,7.0,8.416,-82.824,2.0
2003,Algeria,,6.0,36.939,3.578,9.0
2003,Indonesia,,7.0,2.354,128.855,1.0
2003,Iran (Islamic Republic of),,6.0,28.355,54.169,1.0
2003,Iran (Islamic Republic of),,7.0,28.995,58.311,26796.0
2003,Kazakhstan,,6.0,42.946,72.764,3.0
2004,Japan,Fire,7.0,37.226,138.779,40.0
2004,Indonesia,Fire,7.0,-3.615,135.538,37.0
2004,Indonesia,Fire,7.0,-3.609,135.404,32.0
2004,Costa Rica,"Slide (land, mud, snow, rock)",6.0,9.602,-84.172,8.0
2004,Indonesia,"Slide (land, mud, snow, rock)",8.0,-8.152,124.868,33.0
2004,Iran (Islamic Republic of),"Slide (land, mud, snow, rock)",6.0,36.29,51.61,35.0
2004,Indonesia,Tsunami/Tidal wave,9.0,3.295,95.982,165708.0
2004,Kenya,Tsunami/Tidal wave,9.0,3.295,95.982,1.0
2004,China,,5.0,27.266,103.873,4.0
2004,Colombia,,5.0,2.265,-76.595,1.0
2004,Guadeloupe,,6.0,15.679,-61.706,1.0
2004,Indonesia,,6.0,-8.31,115.788,1.0
2004,Indonesia,,5.0,-0.466,100.655,5.0
2004,India,,9.0,3.295,95.982,16389.0
2004,Sri Lanka,,9.0,3.295,95.982,35399.0
2005,Japan,"Slide (land, mud, snow, rock)",7.0,33.807,130.131,1.0
2005,Indonesia,Tsunami/Tidal wave,9.0,2.085,97.108,915.0
2005,Indonesia,,6.0,-1.198,119.933,1.0
2005,Iran (Islamic Republic of),,6.0,30.754,56.816,612.0
2003,Russian Federation (the),"Slide (land, mud, snow, rock)",7.0,50.038,87.813,3.0
2003,Panama,,7.0,8.416,-82.824,2.0
2003,Turkey,,6.0,39.007,40.464,177.0
2003,United States of America (the),,7.0,35.7005,-121.1005,2.0
2004,Pakistan,"Slide (land, mud, snow, rock)",6.0,34.774,73.216,24.0
2004,Slovenia,"Slide (land, mud, snow, rock)",5.0,46.296,13.641,1.0
2004,Maldives,Tsunami/Tidal wave,9.0,3.295,95.982,102.0
2004,Malaysia,Tsunami/Tidal wave,9.0,3.295,95.982,80.0
2004,Thailand,Tsunami/Tidal wave,9.0,3.295,95.982,8345.0
2004,Morocco,,6.0,35.142,-3.997,628.0
2004,Myanmar,,9.0,3.295,95.982,71.0
2004,Somalia,,9.0,3.295,95.982,298.0
2004,Seychelles,,9.0,3.295,95.982,3.0
2004,Turkey,,6.0,39.93,40.812,9.0
2004,Turkey,,5.0,39.766,43.979,18.0
2004,"Tanzania, United Republic of",,9.0,3.295,95.982,10.0
2005,El Salvador,"Slide (land, mud, snow, rock)",5.0,13.835,-89.759,1.0
2005,Turkey,,6.0,37.622,43.703,2.0
2005,South Africa,,5.0,-26.913,26.789,2.0
2005,Afghanistan,,8.0,34.539,73.588,1.0
2005,Afghanistan,,7.0,36.357,71.093,5.0
2006,Afghanistan,,6.0,37.255,68.828,1.0
2005,India,Fire,8.0,34.539,73.588,1309.0
2005,Chile,"Slide (land, mud, snow, rock)",8.0,-19.987,-69.197,11.0
2005,China,,5.0,29.671,115.688,16.0
2005,Iran (Islamic Republic of),,6.0,26.774,55.858,13.0
2006,China,"Slide (land, mud, snow, rock)",5.0,28.012,104.151,1.0
2006,Indonesia,"Slide (land, mud, snow, rock)",6.0,0.626,99.859,8.0
2006,Indonesia,Tsunami/Tidal wave,7.0,-3.595,127.214,3.0
2006,China,,5.0,27.995,104.138,22.0
2006,Algeria,,5.0,36.623,5.328,4.0
2006,Indonesia,,6.0,-7.961,110.446,5778.0
2006,Indonesia,,6.0,-8.261,118.753,1.0
2006,Indonesia,,8.0,-9.284,107.419,802.0
2006,Iran (Islamic Republic of),,6.0,33.5,48.78,63.0
2007,Chile,Tsunami/Tidal wave,6.0,-45.243,-72.648,10.0
2007,Indonesia,,6.0,-0.488,100.53,67.0
2005,Pakistan,,8.0,34.539,73.588,73338.0
2005,Peru,,8.0,-5.678,-76.398,5.0
2005,Papua New Guinea,,6.0,-6.319,146.846,1.0
2005,"Tanzania, United Republic of",,7.0,-6.224,29.83,2.0
2005,Congo (the Democratic Republic of the),,7.0,-6.224,29.83,6.0
2006,Mozambique,,7.0,-21.324,33.583,4.0
2006,Tajikistan,,6.0,37.255,68.828,3.0
2006,Taiwan (Province of China),,7.0,21.799,120.547,2.0
2007,Japan,Tsunami/Tidal wave,7.0,37.336,136.588,1.0
2007,Solomon Islands,"Slide (land, mud, snow, rock)",8.0,-8.466,157.043,52.0
2007,Indonesia,Tsunami/Tidal wave,8.0,-4.438,101.367,25.0
2007,Brazil,,5.0,-15.048,-44.231,1.0
2007,Chile,,8.0,-22.247,-69.89,2.0
2007,China,,6.0,23.028,101.052,3.0
2007,Indonesia,,7.0,-8.292,118.37,3.0
2008,China,"Slide (land, mud, snow, rock)",8.0,31.002,103.322,87476.0
2008,Colombia,"Slide (land, mud, snow, rock)",6.0,4.33,-73.764,11.0
2008,Greece,"Slide (land, mud, snow, rock)",6.0,37.963,21.525,2.0
2008,China,,6.0,32.756,105.494,4.0
2008,China,,6.0,25.039,97.697,6.0
2008,China,,6.0,26.241,101.889,40.0
2008,China,,6.0,29.807,90.35,30.0
2008,China,,6.0,32.56,105.423,8.0
2008,Indonesia,,7.0,2.768,95.964,3.0
2008,Indonesia,,5.0,-3.935,103.058,2.0
2008,Indonesia,,7.0,1.271,122.091,6.0
2009,Costa Rica,"Slide (land, mud, snow, rock)",6.0,10.165,-84.197,31.0
2009,Honduras,"Slide (land, mud, snow, rock)",7.0,16.731,-86.217,7.0
2009,Afghanistan,,5.0,34.185,70.076,22.0
2009,Indonesia,,8.0,-0.414,132.885,5.0
2007,Japan,Tsunami/Tidal wave,7.0,37.535,138.446,9.0
2007,Peru,Tsunami/Tidal wave,8.0,-13.386,-76.603,593.0
2007,Russian Federation (the),Tsunami/Tidal wave,6.0,47.116,141.798,2.0
2007,Tajikistan,Flood,5.0,38.936,70.485,11.0
2007,Martinique,,7.0,14.944,-61.274,1.0
2008,Japan,"Slide (land, mud, snow, rock)",7.0,39.03,140.881,23.0
2008,Japan,"Slide (land, mud, snow, rock)",7.0,39.802,141.464,1.0
2008,Pakistan,"Slide (land, mud, snow, rock)",6.0,30.639,67.351,166.0
2008,Iran (Islamic Republic of),,6.0,26.743,55.828,6.0
2008,Kyrgyzstan,,7.0,39.533,73.824,74.0
2008,Russian Federation (the),,6.0,43.372,46.254,13.0
2008,Rwanda,,6.0,-2.296,28.9,36.0
2009,Italy,"Slide (land, mud, snow, rock)",6.0,42.334,13.334,295.0
2008,Congo (the Democratic Republic of the),,6.0,-2.296,28.9,11.0
2009,Indonesia,"Slide (land, mud, snow, rock)",7.0,-8.207,118.631,1195.0
2009,Indonesia,"Slide (land, mud, snow, rock)",7.0,-7.782,107.297,128.0
2009,American Samoa,Tsunami/Tidal wave,8.0,-15.489,-172.095,34.0
2009,Bhutan,,8.0,-15.489,-172.095,11.0
2009,China,,6.0,25.632,101.095,1.0
2009,Indonesia,,8.0,-0.72,99.867,2.0
2010,Afghanistan,"Slide (land, mud, snow, rock)",6.0,35.633,67.658,11.0
2010,China,"Slide (land, mud, snow, rock)",4.0,25.558,105.804,8.0
2010,Indonesia,"Slide (land, mud, snow, rock)",7.0,-2.174,136.543,17.0
2010,Chile,Tsunami/Tidal wave,9.0,-36.122,-72.898,562.0
2010,Indonesia,Tsunami/Tidal wave,8.0,-3.487,100.082,530.0
2010,China,,5.0,30.268,105.668,1.0
2010,China,,7.0,33.165,96.548,2968.0
2010,Haiti,,7.0,18.443,-72.571,222570.0
2010,Iran (Islamic Republic of),,6.0,27.022,53.861,1.0
2010,Iran (Islamic Republic of),,7.0,28.412,59.18,7.0
2010,Iran (Islamic Republic of),,6.0,35.49,54.47,3.0
2011,Indonesia,Tsunami/Tidal wave,9.0,38.297,142.373,1.0
2011,China,,6.0,24.727,97.957,25.0
2011,Spain,,5.0,37.699,-1.672,10.0
2011,Japan,,7.0,38.276,141.588,2.0
2009,Japan,Tsunami/Tidal wave,6.0,34.743,138.264,1.0
2009,Tonga,Tsunami/Tidal wave,8.0,-15.489,-172.095,9.0
2009,Malawi,,6.0,-9.948,33.878,1.0
2009,Malawi,,6.0,-10.108,33.818,3.0
2010,Mexico,,7.0,32.2861667,-115.2953333,2.0
2010,Turkey,,6.0,38.864,39.986,51.0
2011,Japan,Fire,9.0,38.297,142.373,19846.0
2011,Myanmar,,7.0,20.687,99.822,74.0
2011,New Zealand,,6.0,-43.583,172.68,181.0
2011,Pakistan,,7.0,28.777,63.951,2.0
2011,Thailand,,7.0,20.687,99.822,1.0
2011,Turkey,,6.0,39.149,29.103,3.0
2011,Uzbekistan,,6.0,40.081,71.41,13.0
2009,Samoa,Tsunami/Tidal wave,8.0,-15.489,-172.095,148.0
2010,Serbia,,6.0,43.76,20.73,2.0
2011,India,"Slide (land, mud, snow, rock)",7.0,27.73,88.155,112.0
2011,Bhutan,,7.0,27.73,88.155,1.0
2011,China,,7.0,27.73,88.155,7.0
2011,Guatemala,,6.0,14.186,-90.238,3.0
2011,Indonesia,,7.0,2.965,97.893,10.0
2012,Afghanistan,"Slide (land, mud, snow, rock)",6.0,36.023,69.351,73.0
2012,Chile,,7.0,-35.2,-72.217,1.0
2012,China,,6.0,27.767,100.781,4.0
2012,China,,6.0,27.575,103.983,81.0
2012,China,,5.0,32.978,119.593,1.0
2012,Costa Rica,,8.0,10.085,-85.315,2.0
2012,Guatemala,,7.0,13.988,-91.895,44.0
2012,Indonesia,,9.0,2.327,93.063,7.0
2012,Indonesia,,6.0,-1.315,120.096,6.0
2013,China,"Slide (land, mud, snow, rock)",6.0,34.512,104.262,95.0
2013,China,"Slide (land, mud, snow, rock)",6.0,28.2425,99.3502,3.0
2013,Indonesia,"Slide (land, mud, snow, rock)",6.0,4.645,96.665,48.0
2013,Afghanistan,,6.0,34.526,70.22,18.0
2013,China,,7.0,30.308,102.888,198.0
2013,Guatemala,,6.0,14.6056,-92.1207,1.0
2013,Indonesia,,6.0,4.927,95.907,1.0
2013,Indonesia,,5.0,5.1033,95.9709,1.0
2013,India,,6.0,33.061,75.863,3.0
2011,New Zealand,"Slide (land, mud, snow, rock)",6.0,-43.564,172.743,1.0
2011,Mexico,,7.0,17.986,-99.789,2.0
2011,Nepal,,7.0,27.73,88.155,7.0
2011,Peru,,7.0,-14.438,-75.966,1.0
2011,Turkey,,7.0,38.721,43.508,604.0
2011,Turkey,,6.0,38.429,43.229,40.0
2012,Myanmar,"Slide (land, mud, snow, rock)",7.0,23.005,95.885,38.0
2012,Philippines (the),"Slide (land, mud, snow, rock)",7.0,9.999,123.206,113.0
2012,Iran (Islamic Republic of),,6.0,38.329,46.826,306.0
2012,Iran (Islamic Republic of),,6.0,33.506,59.571,6.0
2012,Italy,,6.0,44.89,11.23,7.0
2012,Italy,,6.0,44.851,11.086,17.0
2012,Mexico,,7.0,16.493,-98.231,2.0
2012,Philippines (the),,8.0,10.811,126.638,1.0
2012,Tajikistan,,6.0,38.612,70.354,2.0
2013,Solomon Islands,Tsunami/Tidal wave,8.0,-10.799,165.114,10.0
2013,Iran (Islamic Republic of),,6.0,28.428,51.593,37.0
2013,Iran (Islamic Republic of),,6.0,29.32,51.31,8.0
2013,Pakistan,,8.0,28.033,61.996,41.0
2013,Pakistan,,8.0,26.951,65.5009,399.0
2013,Pakistan,,7.0,27.1825,65.5052,22.0
2013,Philippines (the),,7.0,9.8796,124.1167,230.0
2013,Taiwan (Province of China),,6.0,23.789,121.141,4.0
2013,Taiwan (Province of China),,6.0,23.828,121.215,1.0
2014,Chile,,8.0,-19.61,-70.769,6.0
2014,China,"Slide (land, mud, snow, rock)",6.0,27.1891,103.4086,731.0
2014,Ecuador,"Slide (land, mud, snow, rock)",5.0,-0.018,-78.322,3.0
2014,China,,6.0,23.3834,100.4702,1.0
2014,China,,6.0,30.3398,101.7374,5.0
2014,China,,6.0,23.3577,100.533,1.0
2014,Algeria,,6.0,36.8561,3.181,6.0
2014,Greece,,7.0,40.2893,25.3889,3.0
2014,Guatemala,,7.0,14.724,-92.4614,1.0
2015,Chile,Tsunami/Tidal wave,8.0,-31.5729,-71.6744,19.0
2015,Afghanistan,,8.0,36.5244,70.3676,115.0
2015,Bangladesh,,8.0,28.2305,84.7314,4.0
2015,China,,8.0,28.2305,84.7314,29.0
2015,China,,7.0,27.8087,86.0655,1.0
2015,China,,6.0,37.4593,78.1542,3.0
2016,Ecuador,,8.0,0.382,-79.92,672.0
2016,Bangladesh,,7.0,24.804,93.65,5.0
2016,Ecuador,,7.0,0.495,-79.62,1.0
2014,Iran (Islamic Republic of),,5.0,27.1502,54.4482,1.0
2014,Mexico,,7.0,14.724,-92.4614,3.0
2014,Nicaragua,,7.0,11.642,-85.8779,2.0
2014,Peru,,5.0,-13.843,-71.695,8.0
2014,Thailand,,6.0,19.6557,99.6696,1.0
2015,Malaysia,"Slide (land, mud, snow, rock)",6.0,5.987,116.541,24.0
2015,Nepal,"Slide (land, mud, snow, rock)",8.0,28.23,84.731,8831.0
2015,Nepal,"Slide (land, mud, snow, rock)",7.0,27.8087,86.0655,138.0
2015,India,,8.0,28.2305,84.7314,78.0
2015,India,,7.0,27.8087,86.0655,20.0
2015,Pakistan,,8.0,36.5244,70.3676,280.0
2015,Pakistan,,6.0,36.4935,71.1263,3.0
2015,Tajikistan,,7.0,38.211,72.78,2.0
2016,India,,7.0,24.804,93.65,8.0
2016,Italy,,6.0,42.723,13.187,296.0
2016,Japan,,7.0,32.788,130.7,9.0
2016,Japan,,7.0,32.791,130.75,49.0
2016,Pakistan,,7.0,36.473,71.13,6.0
2016,Peru,,5.0,-15.64,-71.68,4.0
2014,United States of America (the),Fire,6.0,38.2151667,-122.3123333,1.0
2014,South Africa,,5.0,-26.9899,26.7048,1.0
2015,Congo (the Democratic Republic of the),,6.0,-2.091,28.952,3.0
2016,Taiwan (Province of China),Collapse,6.0,22.938,120.6,117.0
2016,China,,7.0,39.238,74.047,1.0
2016,China,,5.0,26.077,99.539,2.0
2017,China,"Slide (land, mud, snow, rock)",7.0,33.193,103.855,29.0
2017,Greece,"Slide (land, mud, snow, rock)",6.0,38.915,26.371,1.0
2017,Greece,Tsunami/Tidal wave,7.0,36.925,27.414,2.0
2019,Chile,,7.0,-30.074,-71.423,2.0
2019,China,,5.0,29.498,104.632,2.0
2019,China,,6.0,28.405,104.957,13.0
2016,New Zealand,Tsunami/Tidal wave,8.0,-42.725,173.064,2.0
2016,Indonesia,,7.0,5.281,96.108,104.0
2016,Italy,,6.0,42.934,13.043,1.0
2016,Myanmar,,7.0,20.923,94.569,4.0
2016,Peru,,6.0,-15.321,-70.823,1.0
2017,Mexico,Tsunami/Tidal wave,8.0,15.022,-93.899,98.0
2017,Mexico,Fire,7.0,18.55,-98.489,369.0
2017,Italy,"Avalanche (Snow, Debris)",5.0,42.601,13.227,29.0
2017,Indonesia,,7.0,-7.492,108.174,4.0
2017,Iran (Islamic Republic of),,6.0,37.772,57.204,3.0
2017,Iran (Islamic Republic of),,7.0,34.911,45.959,444.0
2017,Iran (Islamic Republic of),,5.0,35.649,50.962,2.0
2017,Iraq,,7.0,34.911,45.959,10.0
2017,Philippines (the),,7.0,9.907,125.452,8.0
2017,Philippines (the),,7.0,11.111,124.619,3.0
2018,Indonesia,Tsunami/Tidal wave,8.0,-0.256,119.846,4140.0
2018,Papua New Guinea,"Slide (land, mud, snow, rock)",8.0,-6.149,142.766,145.0
2018,Indonesia,Tsunami/Tidal wave,7.0,-8.287,116.452,564.0
2018,Haiti,,6.0,20.034,-73.013,17.0
